,problem_id,prompts,code
10,lsn8_skill2,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** You have been provided with a program that gets the user's body
temperature. If the body temperature is between 97-99 (inclusive), print
""Normal"". Otherwise, print ""Abnormal""



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
temperature = float(input(""Please enter your body temperature: ""))

if 97 <= temperature <= 99:
    print(""Normal"")
else:
    print(""Abnormal"")
"
11,lsn8_skill1,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** You have been provided with a program that gets the user's body
temperature. If the body temperature is between 97-99 (inclusive), print
""Normal"". Otherwise, print ""Abnormal""



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
body_temperature = float(input(""Enter body temperature: ""))
if 97 <= body_temperature <= 99:
    print(""Normal"")
else:
    print(""Abnormal"")
"
12,lsn8_roundtrip,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
**

Write a Python program that gets three values from the user:

  * The distance to a destination (in miles)
  * The amount of fuel in the user's car (in gallons)
  * The # of miles the user's car can travel per gallon of gas (i.e., Miles Per Gallon)

You may assume that all inputs are non-negative numbers.

Calculate the amount of fuel needed to reach the destination. Then output
whether or not the user needs to refuel during a round trip, using the below
table as a guide:

Fuel Consumed (One-Way) | =< 50% | > 50% and <= 100% | > 100%  
---|---|---|---  
Output | No Refueling Needed | Refuel on Way Back | Refuel En Route  
  
**EXAMPLES:**

| Example 1 | Example 2 | Example 3  
---|---|---|---  
Input | 100  
10  
30 | 100  
5  
20 | 100  
7  
10  
Output | No Refueling Needed | Refuel on Way Back | Refuel En Route  
  
**NOTE: Your Output Must Match Exactly**



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
distance = float(input())
fuel = float(input())
mpg = float(input())

fuel_needed = distance / mpg
remaining_fuel = fuel - fuel_needed

if remaining_fuel * 2 >= fuel:
    print('No Refueling Needed')
elif remaining_fuel * 2 < fuel and remaining_fuel >= 0:
    print('Refuel on Way Back')
else:
    print('Refuel En Route')
"
13,lsn8_lists,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
**

Write an algorithm that gets a decimal GPA, APA, and MPA from the user (in
that order). You may assume that all inputs are non-negative whole numbers.

It then reports which meritorious list the cadet is on. If the GPA is equal to
or above 3.0, the cadet is on the ""Dean's List"", and if the APA is equal to or
above 3.0, the cadet is on the ""Athletic Director's List"", and if the MPA is
equal to or above 3.0, the cadet is on the ""Commandant's List"". Finally, if
the cadet qualifies for all three individual lists, then the cadet is on the
""Superintendent's List"". The algorithm should report all the lists the cadet
is on (in the order defined above), unless the cadet is on the Superintendents
List, in which case, it should report only, ""Superintendent's List"".

| No List | Dean's List | Athletic Director's List | Commandant's List |
Superintendent's List  
---|---|---|---|---|---  
GPA | < 3.0 | >= 3.0 | n/a | n/a | >= 3.0  
APA | < 3.0 | n/a | >= 3.0 | n/a | >= 3.0  
MPA | < 3.0 | n/a | n/a | >= 3.0 | >= 3.0  
  
**EXAMPLES:**

Example 1 | Example 2 | Example 3 | Example 4 | Example 5  
---|---|---|---|---  
Input | 2.8  
2.6  
2.5 | 3.5  
3.2  
2.8 | 3.3  
2.8  
3.4 | 3.6  
3.8  
3.2 | 2.8  
3.5  
3.8  
Output | No List | Dean's List  
Athletic Director's List | Dean's List  
Commandant's List | Superintendent's List | Athletic Director's List  
Commandant's List



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
def merit_list(GPA, APA, MPA):
    lists = []
    if GPA >= 3.0:
        lists.append(""Dean's List"")
    if APA >= 3.0:
        lists.append(""Athletic Director's List"")
    if MPA >= 3.0:
        lists.append(""Commandant's List"")

    if GPA >= 3.0 and APA >= 3.0 and MPA >= 3.0:
        return [""Superintendent's List""]
    elif len(lists) == 0:
        return [""No List""]

    return lists

# Implementation example
GPA = float(input(""Enter your GPA: ""))
APA = float(input(""Enter your APA: ""))
MPA = float(input(""Enter your MPA: ""))
print(merit_list(GPA, APA, MPA))
"
14,lsn8_fuel,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:**

Write an algorithm that gets a fuel load (in lbs) and then a distance to base
(in nautical miles). You may assume all inputs are non-negative numbers.

It then outputs what kind of action the pilot should take. If the fuel load is
less than 50 lbs and the distance to base is less than 70 nm, report ""Return
to base"", otherwise, report ""Resume flight"".

**EXAMPLES:**

| Example 1 | Example 2 | Example 3 | Example 4  
---|---|---|---|---  
Input | 30  
60 | 60  
60 | 40  
80 | 60  
80  
Output | Return to base | Resume flight | Resume flight | Resume flight  
  
**Note: Output must match exactly.**



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
def flight_decision(fuel_load, distance_to_base):
    if fuel_load < 50 and distance_to_base < 70:
        return ""Return to base""
    else:
        return ""Resume flight""
"
15,lsn7_skill2,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** You have been provided with a program that gets a course name and number
(e.g., Math 243) from the user. Modify the program to do the following:

  * If the course name is equal to ""CS110"", print ""You get to program!""
  * Otherwise, print ""Boo, no programming.""



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","Here is a solution coded based on the skeleton provided:

"
16,lsn7_skill1,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** You have been provided with a program that gets a temperature from the
user. Modify the program to do the following:

  * If the temperature is less than or equal to 32, print ""Water Has Frozen""
  * Otherwise (i.e., else), print ""Above Water's Freezing Point""



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
temperature = float(input(""Please enter the temperature: ""))

if temperature <= 32:
    print(""Water Has Frozen"")
else:
    print(""Above Water's Freezing Point"")
"
17,lsn7_positive,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
**

Write a Python  **program**  that gets a floating point number from the user:

  * If the number is positive, print the word `POSITIVE`
  * Otherwise, print the word `NOT POSITIVE`

| Example 1 | Example 2 | Example 3  
---|---|---|---  
Input | 10 | -5 | 0  
Output | POSITIVE | NOT POSITIVE | NOT POSITIVE



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
# Skeleton code

def check_number(num):
    # get the number from the user
    # check if the number is positive
    # print ""POSITIVE"" if the number is positive
    # print ""NOT POSITIVE"" if the number is not positive
    pass


def main():
    # get a floating point number from the user
    num = float(input(""Enter a number: ""))
    check_number(num)


if __name__ == ""__main__"":
    main()
```

"
18,lsn7_largest,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
**

Write a program that takes three integers as parameters, and prints the
largest (i.e., highest) number.

Ex: If the input is:

    
    
    7
    15
    3
    

Your function should return:

    
    
    15
    

  
In the event that all 3 numbers are the same, output that number.

Ex: If the input is:

    
    
    5
    5
    5
    

Your function should return:

    
    
    5



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
def largest_number(num1, num2, num3):
    if (num1 >= num2) and (num1 >= num3):
        largest = num1
    elif (num2 >= num1) and (num2 >= num3):
        largest = num2
    else:
        largest = num3
    return largest
"
19,lsn7_classyear,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
**

Using the below table as a guide, write a Python program that takes the user's
class year as input, and outputs their cadet class. If the class year is
before 2021, output ""Graduate"". Alternatively, if the class year is larger
than 2024, output ""Not a Cadet"".

You may assume that all inputs provided to your application are years
(represented as Integers)

| Example 1 | Example 2 | Example 3 | Example 4 | Example 5 | Example 6  
---|---|---|---|---|---|---  
Input | 2021 | 2022 | 2023 | 2024 | 2020 | 2025  
Output | Firstie | Two Degree | Three Degree | Four Degree | Graduate | Not a
Cadet



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
def find_cadet_class(year):
    if year < 2021:
        return ""Graduate""
    elif year == 2021:
        return ""Firstie""
    elif year == 2022:
        return ""Two Degree""
    elif year == 2023:
        return ""Three Degree""
    elif year == 2024:
        return ""Four Degree""
    else:
        return ""Not a Cadet""

# Test the function
print(find_cadet_class(2021)) # Expected output ""Firstie""
print(find_cadet_class(2022)) # Expected output ""Two Degree""
print(find_cadet_class(2023)) # Expected output ""Three Degree""
print(find_cadet_class(2024)) # Expected output ""Four Degree""
print(find_cadet_class(2020)) # Expected output ""Graduate""
print(find_cadet_class(2025)) # Expected output ""Not a Cadet""
"
20,lsn7_atmosphere,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** The Earth's atmosphere is divided into a series of layers. Write an
algorithm that asks the user for the altitude in kilometers. Then output the
corresponding layer according to the following table:

Altitude | ≤10km | >10km&≤50km | >50km&≤85km | >85km&≤1000km |
>1000km&≤100,000km | >100,000km  
---|---|---|---|---|---|---  
**Layer** | Troposphere | Stratosphere | Mesosphere | Thermosphere | Exosphere
| Space



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
altitude = float(input(""Enter the altitude in kilometers: ""))

if altitude <= 10:
    layer = ""Troposphere""
elif altitude > 10 and altitude <= 50:
    layer = ""Stratosphere""
elif altitude > 50 and altitude <= 85:
    layer = ""Mesosphere""
elif altitude > 85 and altitude <= 1000:
    layer = ""Thermosphere""
elif altitude > 1000 and altitude <= 100000:
    layer = ""Exosphere""
elif altitude > 100000:
    layer = ""Space""
else:
    layer = ""Invalid altitude value"" 

print(""The corresponding layer is: "",layer)
"
21,lsn6_temperature,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:**

Write an algorithm that prompts the user for a temperature in °F and then
outputs K and °C in that order.

**EXAMPLE:**

| Example 1 | Example 2  
---|---|---  
Input | 32 | 0  
Output | 273.15  
0 | 255.372  
-17.778  
  
**Note: Output must match within a predefined tolerance.**



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
# Required Libraries
from sympy import *

# Variable
F = symbols('F')

# Given Temperature in Fahrenheit is converted into Celsius and Kelvin
C = (F - 32) * 5/9
K = C + 273.15

# Function to convert F to C & K
def tempConv(Fahrenheit):
    return [K.subs(F,Fahrenheit), C.subs(F,Fahrenheit)]

# Test Cases
testCases = {
    ""testCase1"": [32, [273.15, 0]],
    ""testCase2"": [0, [255.37,-17.78]],
}

for key in testCases:
    output = tempConv(testCases[key][0])
    if output[0]==testCases[key][1][0] and output[1]==testCases[key][1][1]:
        print(key + "" is Passed"")
    else:
        print(key + "" is Failed"")
"
22,lsn6_skill2,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** You have been provided with a template that gets a distance and speed from
the user, and calculates the travel time. Unfortunately, the code does not
work. Analyze the code (and error message) and fix the problem.



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","This problem statement does not include a skeleton code for implementing the solution. Therefore, I am writing a basic python script for solving the problem statement - This script asks the user for speed and distance values, then computes the travel time.

"
23,lsn6_skill1,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** Prompt the user for 3 different values. Store the values in variables using
the names specified within the template. DO NOT include any prompts when
asking for a value from the user.



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","Here is your solution:

"
24,lsn6_projectile,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:**

Write a python program that can calculate the range of a projectile when fired
from an artillery on level ground. Your program will ask the user to input the
initial velocity (`v`) and angle in degrees (`theta`). Your program should
then calculate and print the range using the following formula:

`range = (v^2 * sin(2 * theta)) / 9.8`  
 **WARNING: The above formula is not valid Python.**  
  

| Example 1 | Example 2 | Example 3  
---|---|---|---  
Input | 800  
45 | 600  
30 | 535.2  
81.7  
Output | 65306.122 | 31813.178 | 8350.235  
  
**Hints**

  * You need to use the `math` module's trig functions to solve this problem. Type `import math` at the top of your code to add it to your program.
  * The `sin()` and `cos()` functions assume that the angle is in  **radians**



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
import math

# Collect the input from the user
v = float(input(""Enter the initial velocity (in m/s): ""))
theta = float(input(""Enter the angle of projection (in degrees): ""))

# Convert the angle to radians
theta_rad = math.radians(theta)

# Calculate the range
range = (v**2 * math.sin(2*theta_rad)) / 9.8

# Print the range
print(""The range of the projectile is:"", range)
"
25,lsn6_math,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:**

Given three floating-point numbers x, y, and z, output the square root of x,
the absolute value of (y minus z) , and the factorial of (the ceiling of z).
Each input should be on a new line, and rounded to a maximum of 2 decimal
places.

(Hint: use the [`round` (Links to an external
site.)](https://docs.python.org/3/library/functions.html#round) function to
round your outputs!):

`round(# to round, # of digits to round to)`

**EXAMPLE:**

    
    
    5.0
    6.5
    3.2
    

Then the output is:

    
    
    2.24
    3.30
    24.00
    

NOTE: Decimal places may be slightly off depending on the exact numbers used.



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
import math

x = float(input())
y = float(input())
z = float(input())

sqrt_x = round(math.sqrt(x), 2)
abs_y_z = round(abs(y - z), 2)
fact_z = round(math.factorial(math.ceil(z)), 2)

print(sqrt_x)
print(abs_y_z)
print(fact_z)
"
26,lsn6_calories,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:**

The following equations estimate the calories burned when exercising ([source
(Links to an external
site.)](https://web.archive.org/web/20121021230025/http://fitnowtraining.com/2012/01/formula-
for-calories-burned/)):

Men: Calories = ( (Age x 0.2017) + (Weight x 0.09036) + (Heart Rate x 0.6309)
-- 55.0969 ) x Time / 4.184

Women: Calories = ( (Age x 0.074) -- (Weight x 0.05741) + (Heart Rate x
0.4472) -- 20.4022 ) x Time / 4.184

Write a program using inputs age (years), weight (pounds), heart rate (beats
per minute), and time (minutes), respectively. Output calories burned for men
and women.

Output each floating-point value (your program will be marked correct so long
as it outputs a value within a predefined range)

**EXAMPLE:**

If the input is:

    
    
    49
    155
    148
    60
    

Then the output is:

    
    
    891.47
    580.94



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(input())

calories_men = ((age * 0.2017) + (weight * 0.09036) + (heart_rate * 0.6309) - 55.0969) * time / 4.184
calories_women = ((age * 0.074) - (weight * 0.05741) + (heart_rate * 0.4472) - 20.4022) * time / 4.184

print('%.2f' % calories_men)
print('%.2f' % calories_women)
"
27,lsn6_bits_to_kmg,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:**

One byte is comprised of 8 bits. A typical computer program has a requirement
for much more memory. Therefore, many bytes can be grouped together to make
larger memory amounts. Our convention is for computer memory is scaled in
logical increments of 210 = 1024.

For example:

  * 1024 bytes = 1 kilobyte (KB)
  * 1024 KB = 1 megabyte (MB)
  * 1024 MB = 1 gigabyte (GB)

Write an algorithm that prompts the user for a number of bits and then outputs
the equivalent number of kilobytes, megabytes, and gigabytes.

**EXAMPLE:**

| Example 1 | Example 2 | Example 3  
---|---|---|---  
Input | 1000000 | 6879000 | 92445694  
Output | 122.07  
0.12  
0.00012 | 839.72  
0.82  
.0008 | 11,284.87  
11.02  
0.01  
  
**Note: Output must match within a predefined tolerance.**



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
def compute_memory(bits):
    # Convert bits to bytes
    bytes = bits / 8

    # Convert bytes to kilobytes
    kilobytes = bytes / 1024

    # Convert kilobytes to megabytes
    megabytes = kilobytes / 1024

    # Convert megabytes to gigabytes
    gigabytes = megabytes / 1024

    return kilobytes, megabytes, gigabytes


# Request bits from user
bits = int(input(""Enter the number of bits: ""))

# Compute memory equivalents
kb, mb, gb = compute_memory(bits)

# Output results
print(""%.2f"" % kb)
print(""%.2f"" % mb)
print(""%.2f"" % gb)
"
28,lsn6_bits_to_bytes,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
**

**PROBLEM STATEMENT:  
**

The basic unit of computer memory is a bit. A bit can represent two values (on
or off, 0 or 1). To represent more information, bits are grouped together in
larger quantities. Beyond a bit, the next logical grouping is a byte, where 1
byte has 8 bits. Write an algorithm that prompts the user for a number of bits
and then outputs the equivalent number of bytes.

**EXAMPLE:**

| Example 1 | Example 2 | Example 3  
---|---|---|---  
Input | 8 | 800 | 7234  
Output | 1.0 | 100.0 | 904.25  
  
**Note: Output must match exactly.**



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
bits = int(input(""Enter number of bits: ""))
bytes = bits / 8.0
print(bytes)
"
